,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
39,2018-03-05,600779.XSHG,-2.9,-2923.2413,-11.5885,-628.6322,-2.4921,-2294.6091,-9.0964,-740.4707,-2.9354,3663.712,14.5239
40,2018-03-06,600779.XSHG,2.13,192.754,0.8181,607.2751,2.5774,-414.5211,-1.7593,-936.0449,-3.9727,743.2907,3.1546
41,2018-03-07,600779.XSHG,0.87,918.0036,4.3881,-69.9134,-0.3342,987.917,4.7223,275.0641,1.3148,-1193.0678,-5.703
42,2018-03-08,600779.XSHG,0.95,-379.4644,-2.6815,-216.8969,-1.5327,-162.5675,-1.1488,67.6526,0.4781,311.8119,2.2034
43,2018-03-09,600779.XSHG,2.12,1872.4852,8.6758,868.7801,4.0253,1003.7051,4.6505,-1006.0868,-4.6615,-866.3985,-4.0143
44,2018-03-12,600779.XSHG,0.09,-2057.0641,-7.5807,460.1046,1.6956,-2517.1687,-9.2763,863.2186,3.1811,1193.8457,4.3996
45,2018-03-13,600779.XSHG,0.9,-478.5984,-2.3154,-181.2846,-0.877,-297.3138,-1.4384,583.397,2.8224,-104.7985,-0.507
46,2018-03-14,600779.XSHG,1.2,-1208.2415,-5.3565,-469.7879,-2.0827,-738.4536,-3.2738,1437.7932,6.3742,-229.5517,-1.0177
47,2018-03-15,600779.XSHG,0.73,752.0994,2.6698,-432.7022,-1.536,1184.8016,4.2058,-182.3027,-0.6471,-569.7967,-2.0227
48,2018-03-16,600779.XSHG,0.68,-218.8098,-1.4535,-146.2032,-0.9712,-72.6066,-0.4823,-874.6725,-5.8102,1093.4823,7.2637
49,2018-03-19,600779.XSHG,0.07,-94.5655,-0.6645,-182.4731,-1.2822,87.9076,0.6177,-54.2168,-0.381,148.7823,1.0455
50,2018-03-20,600779.XSHG,-0.8,-259.2953,-2.1032,143.3662,1.1629,-402.6615,-3.266,140.2009,1.1372,119.0944,0.966
51,2018-03-21,600779.XSHG,0.72,68.9789,0.3801,1654.6697,9.1186,-1585.6908,-8.7385,-503.4281,-2.7743,434.4491,2.3942
52,2018-03-22,600779.XSHG,-4.8,-784.953,-2.4732,-475.1919,-1.4972,-309.7611,-0.976,-1265.9303,-3.9886,2050.8834,6.4617
